"180","ANSS","ANSYS, Inc.","http://www.nasdaq.com/symbol/anss","Technology","Computer Software: Prepackaged Software"
"181","ATRS","Antares Pharma, Inc.","http://www.nasdaq.com/symbol/atrs","Health Care","Medical/Dental Instruments"
"182","ANTH","Anthera Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/anth","Health Care","Major Pharmaceuticals"
"183","ABAC","Aoxin Tianli Group, Inc.","http://www.nasdaq.com/symbol/abac","Consumer Non-Durables","Farming/Seeds/Milling"
"184","APAGF","Apco Oil and Gas International Inc.","http://www.nasdaq.com/symbol/apagf","Energy","Oil & Gas Production"
"185","ATNY","API Technologies Corp.","http://www.nasdaq.com/symbol/atny","Technology","Semiconductors"
"186","APOG","Apogee Enterprises, Inc.","http://www.nasdaq.com/symbol/apog","Capital Goods","Auto Parts:O.E.M."
"187","APOL","Apollo Education Group, Inc.","http://www.nasdaq.com/symbol/apol","Consumer Services","Other Consumer Services"
"188","AINV","Apollo Investment Corporation","http://www.nasdaq.com/symbol/ainv","n/a","n/a"
"189","AAPL","Apple Inc.","http://www.nasdaq.com/symbol/aapl","Technology","Computer Manufacturing"
"190","ARCI","Appliance Recycling Centers of America, Inc.","http://www.nasdaq.com/symbol/arci","Consumer Services","Home Furnishings"
"191","APDN","Applied DNA Sciences Inc","http://www.nasdaq.com/symbol/apdn","Consumer Services","Other Consumer Services"
"192","APDNW","Applied DNA Sciences Inc","http://www.nasdaq.com/symbol/apdnw","Consumer Services","Other Consumer Services"
"193","AGTC","Applied Genetic Technologies Corporation","http://www.nasdaq.com/symbol/agtc","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"194","AMAT","Applied Materials, Inc.","http://www.nasdaq.com/symbol/amat","Technology","Semiconductors"
"195","AMCC","Applied Micro Circuits Corporation","http://www.nasdaq.com/symbol/amcc","Technology","Semiconductors"
"196","AAOI","Applied Optoelectronics, Inc.","http://www.nasdaq.com/symbol/aaoi","Technology","Semiconductors"
"197","AREX","Approach Resources Inc.","http://www.nasdaq.com/symbol/arex","Energy","Oil & Gas Production"
"198","APRI","Apricus Biosciences, Inc","http://www.nasdaq.com/symbol/apri","Health Care","Major Pharmaceuticals"
"199","APTO","Aptose Biosciences, Inc.","http://www.nasdaq.com/symbol/apto","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"200","AQXP","Aquinox Pharmaceuticals, Inc.","http://www.nasdaq.com/symbol/aqxp","Health Care","Major Pharmaceuticals"
"201","AUMA","AR Capital Acquisition Corp.","http://www.nasdaq.com/symbol/auma","Finance","Business Services"
"202","AUMAU","AR Capital Acquisition Corp.","http://www.nasdaq.com/symbol/aumau","n/a","n/a"
"203","AUMAW","AR Capital Acquisition Corp.","http://www.nasdaq.com/symbol/aumaw","Finance","Business Services"
"204","ARDM","Aradigm Corporation","http://www.nasdaq.com/symbol/ardm","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"205","PETX","Aratana Therapeutics, Inc.","http://www.nasdaq.com/symbol/petx","Health Care","Major Pharmaceuticals"
"206","ARCW","ARC Group Worldwide, Inc.","http://www.nasdaq.com/symbol/arcw","Capital Goods","Metal Fabrications"
